                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.63529,                0.92514,                0.92548,                0.89775,                0.67863,                0.77532,                0.59951,                0.86441,                 1.5423,                 1.1593,             0.00021471,             0.00021471,             0.00021471
                     91,                0.57554,                 1.1628,                0.90172,                0.89775,                0.67863,                0.77532,                0.59951,                0.86441,                 1.5423,                 1.1593,             0.00019821,             0.00019821,             0.00019821
                     92,                0.51924,                 1.0938,                0.85862,                0.89777,                0.66752,                0.76581,                0.60376,                0.84401,                 1.5379,                  1.149,              0.0001817,              0.0001817,              0.0001817
                     93,                 0.4832,                 1.1159,                0.89334,                0.89777,                0.66752,                0.76581,                0.60376,                0.84401,                 1.5379,                  1.149,              0.0001652,              0.0001652,              0.0001652
                     94,                0.53726,                 1.1422,                0.88764,                0.91376,                0.66051,                0.76198,                0.60755,                 0.8363,                 1.5534,                 1.1404,              0.0001487,              0.0001487,              0.0001487
                     95,                0.51813,                 1.0797,                0.91632,                0.91376,                0.66051,                0.76198,                0.60755,                 0.8363,                 1.5534,                 1.1404,             0.00013219,             0.00013219,             0.00013219
                     96,                0.52143,                 1.0806,                0.91115,                 0.9075,                0.66061,                0.75735,                0.60177,                0.83332,                 1.5563,                 1.1367,             0.00011569,             0.00011569,             0.00011569
                     97,                0.49376,                 1.1008,                0.87925,                 0.9075,                0.66061,                0.75735,                0.60177,                0.83332,                 1.5563,                 1.1367,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.50821,                 1.1541,                0.89349,                0.87162,                0.69578,                  0.766,                0.60411,                0.83257,                 1.5731,                 1.1373,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.45738,                 1.0329,                0.87404,                0.87162,                0.69578,                  0.766,                0.60411,                0.83257,                 1.5731,                 1.1373,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 0.6171,                 1.0995,                 1.0006,                0.87174,                 0.6981,                0.76378,                0.60341,                0.82809,                 1.5777,                 1.1328,             4.9677e-05,             4.9677e-05,             4.9677e-05
